,id,normalized_name,region,investment_rounds,invested_companies,milestones,relationships
45,f:1005,grey ventures,New York,2,1,0,1
46,f:10050,allegro venture,unknown,6,5,0,1
47,f:10051,launchub,Sofia,26,25,2,4
48,f:10052,berrier,Milano,1,1,0,0
49,f:10053,hfg wealth management,Houston,0,0,0,1
50,f:10054,big sur ventures,Madrid,2,2,0,1
51,f:10055,necotium,unknown,1,1,0,0
52,f:10056,crystal horse investments,Singapore - Other,7,6,1,1
53,f:10057,jcb investments,unknown,1,1,0,0
54,f:10058,la jolla holding,unknown,1,1,0,0
55,f:10059,isfdéveloppement 2015,unknown,1,1,0,0
56,f:1006,creathor venture management,Bad Homburg,34,24,4,16
57,f:10061,wfa global investments,New York,1,1,0,0
58,f:10062,opcvm 360,unknown,0,0,0,1
59,f:10063,pacific advantage,Hong Kong,2,1,0,1
60,f:10064,duet partners,London,0,0,0,3
61,f:10066,elian investment,unknown,0,0,0,1
62,f:10067,vms,San Diego,0,0,0,2
63,f:10069,euroserve,unknown,1,1,0,0
64,f:1007,i2e,Oklahoma City,10,10,0,2
65,f:10071,liberty global ventures,Denver,6,5,0,1
66,f:10074,mundivox,unknown,0,0,0,1
67,f:10075,good works ventures,unknown,1,1,0,0
68,f:10076,agate medical investments,Tel Aviv,1,1,0,0
69,f:10078,xerox uk,unknown,0,0,0,1
70,f:10079,lion,Fort Wayne,0,0,0,2
71,f:1008,madronepartners,SF Bay,11,7,0,2
72,f:10081,deciens,SF Bay,2,2,0,2
73,f:10082,inimiti,Israel - Other,2,2,0,3
74,f:10083,cedar st,New York,2,1,0,0
75,f:10084,trebuchet investments,unknown,2,1,0,0
76,f:10085,padova investments,unknown,2,1,0,0
77,f:10086,jumpstart,Los Angeles,0,0,0,0
78,f:10087,fraser mccombs,Denver,2,2,0,2
79,f:10089,windsor brokers,Limassol,0,0,0,0
80,f:1009,croghan investments,Niwot,4,4,0,1
81,f:10090,arpheus,unknown,0,0,0,1
82,f:10092,uk financials,London,0,0,0,0
83,f:10093,fundación josé manuel entrecanales,Madrid,2,2,0,0
84,f:10094,ibank,Los Angeles,0,0,0,0
85,f:10096,red sea venture,unknown,1,1,0,0
86,f:10097,online generics,unknown,0,0,0,1
87,f:10098,naive angels,unknown,0,0,0,1
88,f:101,bluerun ventures,SF Bay,87,55,0,27
89,f:1010,overbrook entertainment,unknown,4,4,0,1
90,f:10100,militello,Lansdowne,4,4,0,0
91,f:10101,adventure,Melbourne,1,1,1,6
92,f:10102,martlet,London,1,1,0,0
93,f:10103,harland financial solutions,Orlando,1,1,0,0
94,f:10104,new world innovation,unknown,0,0,0,1
95,f:10105,northeast community federal credit union,SF Bay,0,0,0,1
96,f:10106,sbi,unknown,0,0,0,2
97,f:10108,nispo funds,Belfast,1,1,0,0
98,f:10109,silvercrest asset management group,New York,0,0,0,0
99,f:10110,jumpstart ventures,Chicago,5,4,1,0
100,f:10111,jade global investments,unknown,1,1,0,0
101,f:10112,sparkasse mecklenburg nordwest,Wismar,0,0,0,1
102,f:10113,landessparkasse zu oldenburg,Oldenburg,0,0,0,1
103,f:10114,seedstartup,Dubai,1,1,0,1
104,f:10116,lasalle investment management,Chicago,0,0,1,3
105,f:10118,nedbank,Sandown,0,0,0,2
106,f:10119,balmoral funds,Los Angeles,0,0,0,0
107,f:1012,arba seed investment group,SF Bay,1,1,0,1
108,f:10120,contactidm,Los Angeles,0,0,0,1
109,f:10121,numodainnovations,Philadelphia,2,2,0,0
110,f:10122,az furnace accelerator,Phoenix,5,5,0,1
111,f:10123,fidelity growthasia,Beijing,2,2,0,0
112,f:10124,oaktreemanagement,Los Angeles,1,1,0,7
113,f:10125,pulvers micro angel,unknown,2,1,0,0
114,f:10126,panafrican investment,unknown,1,1,0,0
115,f:10127,merciamanagement,Henley-in-Arden,12,11,0,0
116,f:10129,hennessey,Detroit,3,2,0,0
117,f:1013,nuvoiz,SF Bay,0,0,0,0
118,f:10131,fin1,unknown,0,0,0,1
119,f:10132,fin2,unknown,0,0,0,1
120,f:10133,mediterra pe,unknown,1,1,0,0
121,f:10135,lionbird,Tel Aviv,5,4,0,0
122,f:10136,eventurecat,Berlin,0,0,0,1
123,f:10137,leopard rock,London,1,1,0,0
124,f:10138,javest investment,Amsterdam,3,3,0,2
125,f:10139,new world private equity,London,1,1,0,0
126,f:10140,trentorise,unknown,1,1,0,0
127,f:10141,techie magazine,unknown,0,0,0,1
128,f:10142,cemre reklam,Istanbul,0,0,0,1
129,f:10143,social investment ventures,unknown,0,0,0,1
130,f:10144,softbank ventures korea,Seoul,17,16,1,10
131,f:10145,tradewind,Amsterdam,0,0,0,0
132,f:10146,enerdigm ventures,SF Bay,2,1,1,1
133,f:1015,dolphin equity,New York,17,9,0,3
134,f:10151,online finance market,unknown,0,0,0,0
135,f:10152,first generation,unknown,1,1,0,0
136,f:10153,abele ventures,unknown,1,1,0,0
137,f:10154,propeller venture accelerator,Dublin,4,4,0,1
138,f:10155,india venture,Washington DC,2,1,0,0
139,f:10156,carrickpartners,SF Bay,1,1,0,2
140,f:10158,mp beteiligungs,unknown,1,1,0,0
141,f:10159,luminor,Singapore - Other,1,1,0,0
142,f:1016,index,Kansas City,1,1,0,0
143,f:10160,test12,unknown,0,0,0,1
144,f:10161,fer12,unknown,0,0,0,1
145,f:10162,tec ventures,unknown,2,2,1,0
146,f:10163,maverick angels,Los Angeles,2,2,0,1
147,f:10164,rockies venture club,Denver,1,1,0,3
148,f:10165,startup lisboa tech,Lisboa,0,0,0,1
149,f:10166,justdial,Mumbai,0,0,0,1
150,f:10167,frontier investments group,unknown,1,1,0,0
151,f:10168,saama,Ebene,3,3,1,0
152,f:1017,foundersop,Seattle,50,42,0,72
153,f:10170,umip premier,unknown,1,1,0,0
154,f:10171,gloryhope ventures,Beijing,0,0,1,0
155,f:10172,smartone prepaid tsys,Atlanta,0,0,0,1
156,f:10173,satus vc,unknown,2,2,0,0
157,f:10174,rtaventures,Warszawa,3,3,1,1
158,f:10175,broadoakpartners,Washington DC,1,1,0,1
159,f:10176,rsl venture,unknown,5,5,0,1
160,f:10177,parallel frozen yogurt,unknown,0,0,0,1
161,f:10178,imr group,unknown,0,0,0,1
162,f:10179,geofinance s,unknown,1,1,0,0
163,f:1018,digital garage,Tokyo,23,22,3,17
164,f:10180,mc egypt,Cairo,0,0,0,0
165,f:10183,web development outsourcing,unknown,0,0,0,1
166,f:10184,wso,unknown,0,0,0,1
167,f:10185,lesmoir gordon boyle,London,0,0,0,0
168,f:10186,vela imprese,Milano,2,2,0,0
169,f:10187,andena holding,unknown,2,2,0,0
170,f:10188,bincot,unknown,3,3,0,0
171,f:10189,for to do ventures,United States - Other,0,0,0,0
172,f:1019,serenda estonia,unknown,2,1,0,0
173,f:10190,kriya connect,Dallas,0,0,0,1
174,f:10191,see linkedin profile,unknown,0,0,0,1
175,f:10193,amigo loans,London,0,0,1,3
176,f:10195,vilicus ventures,Minneapolis,0,0,0,0
177,f:10196,prolific venture,New York,9,9,1,1
178,f:10197,pangeas edge holdings,unknown,2,2,0,0
179,f:10198,red dot ventures,Singapore - Other,5,5,1,0
180,f:10199,hudson sloane,unknown,0,0,0,1
181,f:102,catamount ventures,SF Bay,33,21,0,9
182,f:1020,vencore,Portland,1,1,0,2
183,f:10200,infema,unknown,1,1,0,0
184,f:10201,health insight,unknown,1,1,0,0
185,f:10203,ares capital,Los Angeles,2,2,0,2
186,f:10204,im vc,unknown,0,0,0,1
187,f:10205,fideilty,unknown,1,1,0,0
188,f:10207,legal general,London,3,2,0,0
189,f:10208,cazenove,unknown,1,1,0,1
190,f:10209,digital news ventures,New York,4,4,0,0
191,f:1021,new england development,Boston,1,1,0,3
192,f:10210,uae equity consortium,unknown,0,0,0,0
193,f:10212,roll investments,unknown,0,0,0,1
194,f:10215,travellooga,Fort Lauderdale,0,0,0,1
195,f:10216,beyond digital,unknown,0,0,0,0
196,f:10218,hedgebrook,Ashland,0,0,0,3
197,f:10219,angel baez camacho,unknown,0,0,0,0
198,f:1022,breakaway ventures,Boston,5,3,0,1
199,f:10220,angel camacho,unknown,0,0,0,0
200,f:10221,questvc,Beijing,1,1,0,3
201,f:10222,tmi holding,Taipei,1,1,0,5
202,f:10223,first american tax defense,Chicago,0,0,0,1
203,f:10224,narrow river management,unknown,1,1,0,0
204,f:10225,csu chico,Chico,1,1,0,0
205,f:10228,middleland,Washington DC,9,7,0,0
206,f:10229,wonky ventures,unknown,1,1,0,0
207,f:1023,mugar enterprises,Boston,1,1,0,1
208,f:10230,trans it,SF Bay,0,0,0,1
209,f:10231,startup minds,Los Angeles,2,2,0,0
210,f:10233,nanabianca,Florence,1,1,0,3
211,f:10234,georgetown angels,New York,2,2,1,2
212,f:10235,asap handyman,unknown,0,0,0,1
213,f:10236,formula vc,United States - Other,1,1,1,2
214,f:10237,stopoverresorts,unknown,0,0,0,1
215,f:10238,innopolis,unknown,1,1,0,1
216,f:1024,fisher investments,SF Bay,1,1,3,8
217,f:10240,sparkbox ventures,Auckland Central,1,1,0,1
218,f:10241,savitr,SF Bay,1,1,0,0
219,f:10243,medina,Miami,5,4,0,0
220,f:10247,tnf ventures,Singapore,4,4,0,1
221,f:10249,tdvf investments,unknown,1,1,0,0
222,f:1025,magnolia,Tel Aviv,0,0,0,4
223,f:10250,lmg industri,unknown,1,1,0,0
224,f:10251,colleen pollock,unknown,0,0,0,1
225,f:10252,heather jackson,unknown,0,0,0,1
226,f:10253,allison ferguson,unknown,0,0,0,1
227,f:10254,shannon archer,unknown,0,0,0,1
228,f:10255,kayla shorter,unknown,0,0,0,1
229,f:10256,charlie pollock,unknown,0,0,0,1
230,f:10257,monash private,Sydney,1,1,0,0
231,f:10258,ourcrowd,Jerusalem,19,19,1,30
232,f:10259,bedrocket media ventures,New York,2,2,1,1
233,f:1026,prime,Tucson,1,1,0,0
234,f:10260,iventurecapital,Hamburg,2,2,1,0
235,f:10261,delta v,Denver,1,1,0,1
236,f:10262,queensland investment,unknown,1,1,0,0
237,f:10263,ny venture,unknown,1,1,0,0
238,f:10264,practica,Vilnius,8,5,0,1
239,f:10265,the social internet,unknown,4,4,0,1
240,f:10266,downey ventures,unknown,1,1,0,0
241,f:10269,in the new collection beautiful canvas prints allocated and we can choose the most romantic design for bedroom walls there is a special piece of artwork described as love island canvas prints for improved house decoration and the color combination of th,unknown,0,0,0,0
242,f:10270,kbc peel hunt,unknown,0,0,0,1
243,f:10271,stephane touboul,unknown,0,0,0,1
244,f:10272,crownpartners,Toronto,0,0,0,0
245,f:10273,voivoda ventures,SF Bay,4,4,3,7
246,f:10274,http galaxyphotoz,unknown,0,0,0,1
247,f:10275,http www leanneferguson ca,unknown,0,0,0,1
248,f:10276,sabangroup,Los Angeles,1,1,0,4
249,f:10277,ely sakhai art design,unknown,0,0,0,1
250,f:10278,braincapital,unknown,0,0,0,0
251,f:10279,vert investment group,Houston,0,0,0,1
252,f:1028,qualcomm ventures,San Diego,97,72,0,59
253,f:10286,northwest georgia bank,Ringgold,1,1,0,0
254,f:10287,rothschild r,Birmingham,1,1,0,0
255,f:10289,tony stinsa,unknown,0,0,0,1
256,f:10296,agire,Roma,1,1,0,0
257,f:10299,topping,unknown,1,1,0,0
258,f:1030,w media ventures,Vancouver,10,10,0,1
259,f:10301,colt ventures,Dallas,1,1,0,0
260,f:10303,calcon mutual,Garden City,0,0,0,1
261,f:10304,triventures,Herzliya,2,2,0,0
262,f:10305,xt investments,unknown,2,2,0,0
263,f:10306,brightstone venture,unknown,0,0,0,0
264,f:10307,launchgarage,Quezon City,0,0,2,2
265,f:10308,berman venture,Washington DC,1,1,0,0
266,f:10309,ashhill pharmaceutical investments,unknown,1,1,0,0
267,f:1031,tudor growth equity,Boston,19,15,0,7
268,f:10310,positive stocks,unknown,0,0,0,1
269,f:10311,estockz,unknown,0,0,0,1
270,f:10313,irving place,New York,1,1,0,0
271,f:10314,aviall india the boeing company,Beijing,0,0,0,1
272,f:10316,client securitynevada state bar,Las Vegas,0,0,0,1
273,f:10317,american association for justice,Washington DC,0,0,0,1
274,f:10318,american bar association,Chicago,0,0,0,4
275,f:10319,national association of criminal defense lawyers,Washington DC,0,0,0,1
276,f:1032,time warner investments,New York,32,25,2,17
277,f:10320,slicktext,unknown,0,0,0,1
278,f:10321,cyclingunderground,unknown,0,0,0,1
279,f:10325,w7 brazil,Sao Paulo,2,2,4,4
280,f:10327,iadam ventures,unknown,0,0,0,1
281,f:1033,helion venture,Port Louis,36,23,2,11
282,f:10330,wit accelerate program,unknown,1,1,0,0
283,f:10331,ti23,United Kingdom - Other,1,1,0,1
284,f:10332,ndi healthcare,unknown,1,1,0,0
285,f:10333,public square,unknown,1,1,0,0
286,f:10334,gemini investors,Boston,3,2,0,0
287,f:10336,incubate,unknown,7,6,0,0
288,f:10337,energy foundry,Chicago,0,0,0,0
289,f:10339,start garden,Grand Rapids,6,6,0,1
290,f:1034,tribeca venture,New York,36,24,3,5
291,f:10340,ct investment,London,1,1,0,0
292,f:10341,launchpad la,Los Angeles,15,15,1,10
293,f:10343,the untitled venture company,SF Bay,1,1,0,0
294,f:10345,ubs financial services,unknown,0,0,0,5
295,f:10346,frost venture,Los Angeles,4,3,0,3
296,f:10347,paydaypig,Glasgow,0,0,0,0
297,f:10348,bear creek,Orlando,2,1,0,0
298,f:10349,social sector ventures,Dallas,1,1,0,0
299,f:1035,i5invest,Vienna,12,10,0,14
300,f:10351,gi,SF Bay,1,1,0,0
301,f:10352,webpicid,Sherwood Park,0,0,0,0
302,f:10353,extend,unknown,1,1,0,0
303,f:10354,tchoupitoulas,unknown,1,1,0,0
304,f:10355,berlin ventures,Berlin,1,1,0,0
305,f:10356,paydaygap,unknown,0,0,0,1
306,f:10357,link business,unknown,0,0,0,0
307,f:10358,huron,Detroit,1,1,0,1
308,f:1036,kuv,Beirut,1,1,0,2
309,f:10360,denali venture,SF Bay,0,0,0,3
310,f:10364,dp invest,unknown,1,1,0,0
311,f:10365,the frankel,unknown,1,1,0,0
312,f:10366,the amherst,Detroit,1,1,0,0
313,f:10367,orix private equity,unknown,1,1,0,0
314,f:10368,alpha investments,Mumbai,1,1,0,0
315,f:10369,spellpartners,Minneapolis,1,1,0,3
316,f:1037,quest venture,SF Bay,37,30,1,3
317,f:10370,vigene,Shenzhen,0,0,0,0
318,f:10371,impact investment,unknown,1,1,0,0
319,f:10372,eastern sunpartners,unknown,1,1,0,0
320,f:10373,bronze investments,SF Bay,4,3,0,1
321,f:10374,agf investments,Toronto,1,1,0,0
322,f:10375,rse ventures,New York,4,4,0,0
323,f:10376,casabona ventures,Kinnelon,1,1,0,0
324,f:10377,sbd global,Grand Cayman,1,1,0,0
325,f:1038,startup factory,Herzliya,4,4,0,3
326,f:10380,modern holdings,Summit,0,0,0,7
327,f:10382,action group holdings,Safat,0,0,0,1
328,f:10384,asia wealth group hodings,Singapore,0,0,0,1
329,f:10385,meyer international,unknown,0,0,0,1
330,f:10386,iconiq,SF Bay,6,5,0,0
331,f:10388,laurel crown,unknown,1,1,0,0
332,f:10389,frühphasenfonds brandenburg,Potsdam,2,2,0,0
333,f:1039,shepherd ventures,San Diego,15,9,0,6
334,f:10390,westtech ventures,Berlin,3,3,1,2
335,f:10392,previz ventures,unknown,1,1,0,0
336,f:10393,columbia technology ventures,New York,1,1,0,1
337,f:10394,aleutianpartners,New York,1,1,0,1
338,f:10397,weldnorth,New York,1,1,0,1
339,f:10398,the startup factory,Raleigh-Durham,6,6,0,3
340,f:1040,access industries,New York,10,9,4,1
341,f:10400,providence economic development partnership,Providence,1,1,0,0
342,f:10401,straightline ventures,unknown,1,1,0,0
343,f:10402,stonebridge ventures,unknown,1,1,0,0
344,f:10403,ktb network,Gyeonggi-do,1,1,0,2
345,f:10405,vitulum ventures,Amsterdam,1,1,0,1
346,f:10406,inland techstart,Spokane,1,1,0,0
347,f:10407,spokane angel alliance,unknown,1,1,0,0
348,f:10409,mayflyllc,Boston,1,1,0,0
349,f:10410,random house ventures,unknown,2,2,0,1
350,f:10411,kaizen private equity,unknown,1,1,0,0
351,f:10414,indufin,Heverlee,1,1,0,0
352,f:10416,rockpool investments llp,London,0,0,0,0
353,f:10417,nzfh enterprises,unknown,0,0,0,1
354,f:10418,ptv television network,unknown,0,0,0,1
355,f:10419,stone point,New York,1,1,0,4
356,f:1042,hillcrest management,Milford,3,1,0,2
357,f:10420,bootstart,unknown,0,0,0,1
358,f:10421,chrysalis,unknown,1,1,0,1
359,f:10422,indiatourcity,Srinagar,0,0,0,1
360,f:10423,reliant bank,Nashville,0,0,0,1
361,f:10424,udd ventures,Santiago,1,1,0,0
362,f:10425,wynnchurch,Chicago,1,1,0,0
363,f:10426,larsen maccoll,Philadelphia,1,1,0,0
364,f:10427,blue water angels,Midland,3,3,0,0
365,f:10428,northern michigan angels,Traverse City,2,2,0,0
366,f:10429,tri,Edinburgh,3,2,1,0
367,f:1043,curious office,Seattle,5,4,0,2
368,f:10430,prairie,Chicago,1,1,0,1
369,f:10432,napkn ventures,unknown,3,2,0,2
370,f:10433,incuba uc,Santiago,1,1,0,1
371,f:10434,innpulsa colombia,Colombia - Other,1,1,0,1
372,f:10437,lightspeed china,Shanghai,2,2,0,0
373,f:10438,nausicaa ventures,Mont Saint Guibert,1,1,0,0
374,f:10439,bams angelsi,unknown,1,1,0,0
375,f:1044,emerald technology ventures,Switzerland - Other,17,11,0,15
376,f:10440,life sciences research,Leuven,1,1,0,0
377,f:10442,brentwood associates,Los Angeles,1,1,1,4
378,f:10443,westventure,Port Of Spain,1,1,0,0
379,f:10444,no financial orgs,unknown,0,0,0,1
380,f:10446,phatnguyen ventures,unknown,0,0,0,0
381,f:10449,genwealth venture,Toronto,1,1,0,0
382,f:1045,ngp,New Delhi,2,2,0,2
383,f:10453,creative england,Birmingham,3,3,0,0
384,f:10454,phat nguyen ventures,unknown,0,0,0,1
385,f:10456,samuel services,London,0,0,0,1
386,f:10457,abnamro,unknown,1,1,0,1
387,f:10458,sevenventures,Unterföhring,1,1,0,1
388,f:10459,amplify,Boston,7,7,1,2
389,f:10460,memorialcare innovation,Los Angeles,2,2,0,0
390,f:10463,youngbrains,Hamburg,0,0,0,5
391,f:10464,sail venture,unknown,1,1,0,1
392,f:10467,gates fa distrib sub of arrow,unknown,0,0,0,1
393,f:10468,mentored ceos of start ups,unknown,0,0,0,1
394,f:10469,startup loans uk,London,2,2,0,0
395,f:1047,worldview technology,SF Bay,47,22,2,10
396,f:10471,religare enterprises,New Delhi,0,0,1,1
397,f:10472,alstein pte,unknown,0,0,0,1
398,f:10473,aladinn ventures,unknown,1,1,0,0
399,f:10474,mindspan,California - Other,0,0,0,2
400,f:10478,steelhouse ventures,unknown,1,1,0,0
401,f:10479,mccoll,unknown,0,0,0,1
402,f:1048,pacific rim,SF Bay,0,0,0,0
403,f:10480,aristos ventures,Dallas,1,1,0,1
404,f:10481,minden,unknown,0,0,0,0
405,f:10483,developaweb,West Vancouver,0,0,0,1
406,f:10484,intertrust,SF Bay,1,1,0,7
407,f:10485,financial organizations,unknown,0,0,0,1
408,f:10486,financial organizations1,unknown,0,0,0,1
409,f:10487,toba,SF Bay,11,10,0,2
410,f:10489,dragoneer investment group,SF Bay,6,5,0,1
411,f:10490,passport ventures,unknown,1,1,0,0
412,f:10491,nextcube,unknown,1,1,0,0
413,f:10492,arctic fox venture,unknown,1,1,0,0
414,f:10493,defense advanced research projects agency,Washington DC,1,1,0,1
415,f:10494,efre innovationsfond rheinland pfalz,unknown,1,1,0,0
416,f:10496,versoventures,unknown,1,1,0,0
417,f:10498,falcon investment advisors,Boston,1,1,0,0
418,f:10499,bcd holdings,unknown,1,1,0,0
419,f:105,balderton,London,131,88,0,18
420,f:1050,rbc venture,Toronto,30,18,1,14
421,f:10500,bluefield investments,unknown,1,1,0,0
422,f:10502,eierfabrik,Berlin,1,1,0,0
423,f:10503,monthly ventures,unknown,1,1,0,0
424,f:10504,gibraltar business,Chicago,2,1,0,0
425,f:10505,optus innov8,Macquarie Park,1,1,0,0
426,f:10506,guild,Chicago,1,1,0,0
427,f:10507,first angel network,Halifax,1,1,0,0
428,f:10509,portman asset finance,Northampton,0,0,0,0
429,f:1051,fidelity equity,Boston,0,0,3,18
430,f:10510,unilazer ventures,Mumbai,4,4,0,4
431,f:10511,scrum ventures,unknown,11,11,0,2
432,f:10512,vesna investment,Moscow,2,2,3,0
433,f:10513,rogue venture,unknown,4,4,0,0
434,f:10514,dfw,New York,1,1,0,2
435,f:10515,pine bridge,unknown,1,1,0,0
436,f:10516,innovation nest,Krakow,4,4,0,1
437,f:10518,cashcall,Los Angeles,0,0,0,1
438,f:10519,quick loan funding,unknown,0,0,0,1
439,f:1052,media ventures,Cologne,5,3,0,6
440,f:10520,hatch,Norfolk,0,0,0,2
441,f:10521,crb inverbío,Madrid,1,1,0,0
442,f:10522,ixora ventures,unknown,1,1,0,2
443,f:10523,west family holdings,unknown,1,1,0,0
444,f:10525,womens clothing,unknown,0,0,0,1
445,f:10527,venturepreneurs,Barcelona,2,1,0,0
446,f:10528,riscura,Cape Town,0,0,0,0
447,f:10529,qbic,unknown,1,1,0,0
448,f:10530,beco,unknown,1,1,0,0
449,f:10531,castrol innoventures,Swindon,1,1,0,1
450,f:10532,exium,Rochester,1,1,0,0
451,f:10533,cincinnatione,unknown,0,0,0,1
452,f:10534,backyardventure,unknown,0,0,0,1
453,f:10535,dw healthcare,Toronto,0,0,0,3
454,f:10536,presta funding group,Las Vegas,0,0,0,1
455,f:10537,venue seen,Columbus,0,0,0,1
456,f:10538,jobsohio,Columbus,0,0,0,2
457,f:10541,augusta,London,0,0,0,1
458,f:10544,cobble hill,New York,0,0,0,1
459,f:10545,griffon ventures,Chicago,1,1,0,1
460,f:10549,earlybirdcapital,New York,0,0,0,1
461,f:10550,rutledge vine,Singapore,3,2,0,0
462,f:10552,kas ii,unknown,0,0,0,0
463,f:10555,dominatefund,unknown,1,1,0,0
464,f:10556,take it worldwide,unknown,0,0,0,1
465,f:10557,new line safety,unknown,0,0,0,1
466,f:10558,inversiones montferrat,unknown,1,1,0,0
467,f:10559,naxuri,SF Bay,1,1,0,2
468,f:1056,triplepoint,SF Bay,39,36,0,17
469,f:10560,gsm,unknown,1,1,0,0
470,f:10561,institute for the commercialization of public research,Palm Beach,2,2,0,0
471,f:10562,pinehurst advisors,unknown,1,1,0,0
472,f:10564,missionog,Devon,2,2,0,4
473,f:10565,bmo,unknown,0,0,0,5
474,f:10566,vine st ventures,unknown,7,6,0,4
475,f:10568,cavallino,SF Bay,3,3,0,0
476,f:1057,bancboston ventures,Boston,4,3,0,8
477,f:10570,b5,unknown,1,1,0,0
478,f:10571,bioinspire,Phoenix,1,1,0,0
479,f:10572,meridian growth,unknown,3,3,0,0
480,f:10575,hbs alumni angels,Boston,2,2,0,0
481,f:10576,srijan,Bangalore,2,2,1,0
482,f:10578,rockwoodllc,New York,0,0,0,8
483,f:10579,asbc,unknown,0,0,0,1
484,f:1058,blackberry partners,Toronto,0,0,3,11
485,f:10580,group arnault,unknown,1,1,0,0
486,f:10581,feddev ibi,unknown,1,1,0,0
487,f:10582,medical research commercialisationmrcf,Melbourne VIC,2,2,0,0
488,f:10583,brandon biosciences1 bbf1,Melbourne,1,1,0,0
489,f:10584,graph investments,unknown,0,0,0,0
490,f:10586,rsl ventures,unknown,3,3,0,0
491,f:10587,lx ventures,Vancouver,2,2,2,3
492,f:1059,motorola solutions venture,Chicago,81,58,0,8
493,f:10591,digital first ventures,New York,1,1,0,2
494,f:10592,binary options profits,unknown,0,0,0,0
495,f:10593,0,unknown,0,0,0,0
496,f:10594,8capita,Singapore,2,2,0,2
497,f:10595,mansa,Boston,1,1,2,1
498,f:10597,northwater intellectual property,Toronto,1,1,0,0
499,f:10598,compare money transfers,Essex,0,0,0,0
500,f:10599,send money home,Essex,0,0,0,1
501,f:1060,jafco asia,Singapore,28,25,0,26
502,f:10600,financial administration dept city of hamburg,unknown,0,0,0,1
503,f:10601,staffquick,unknown,0,0,0,1
504,f:10603,ergopartners,Los Angeles,0,0,0,6
505,f:10604,e bricks digital,São Paulo  SP,2,2,0,2
506,f:10608,playfair,London,5,5,1,5
507,f:1061,eastven venture,New York,6,5,0,6
508,f:10610,basrah international airport,unknown,0,0,0,1
509,f:10611,malloy and company,San Diego,0,0,0,1
510,f:10612,linseed,United States - Other,3,3,0,0
511,f:10613,nebraska innovationprototypegrant,unknown,1,1,0,0
512,f:10614,wermuth asset management,Mainz,1,1,0,0
513,f:10615,institute of education sciences,unknown,1,1,0,0
514,f:10620,forex shop,Cluj Napoca,0,0,0,0
515,f:10621,chasm,unknown,1,1,0,0
516,f:10622,northzone ventures,unknown,1,1,0,0
517,f:10623,http www totalrecipes,unknown,0,0,0,1
518,f:10624,invent ventures,Los Angeles,1,1,0,2
519,f:10625,heliant ventures,Hong Kong,4,3,1,1
520,f:10627,episode 1,London,0,0,1,3
521,f:10628,sabic ventures,PD Sittard,1,1,0,2
522,f:10629,rising tide,SF Bay,0,0,0,8
523,f:1063,infocomm investments,Singapore,7,6,0,3
524,f:10630,san diego venture group,San Diego,0,0,0,3
525,f:10632,mw ventures,unknown,1,1,0,1
526,f:10633,microwave ventures,Bilbao,1,1,0,0
527,f:10634,life sreda,Moscow,3,3,3,4
528,f:10635,angel hq,unknown,0,0,0,2
