,funding_round_id,funded_object_id,investor_object_id
294,154,5862,3956
295,154,5862,3926
296,154,5862,3859
297,155,5273,3704
298,155,5273,3744
299,156,5273,3664
300,157,5273,3988
301,158,6318,4439
302,158,6318,4689
303,158,6318,5927
304,159,9470,3938
305,160,9470,3938
306,161,9470,4666
307,162,9470,4666
308,163,6156,6333
309,163,6156,5179
310,164,6226,4067
311,164,6226,3988
312,164,6226,4752
313,165,6226,4124
314,165,6226,4067
315,165,6226,4154
316,165,6226,4752
317,165,6226,3776
318,166,6470,9046
319,167,6496,4191
320,167,6496,5392
321,167,6496,9779
322,167,6496,4030
323,167,6496,9204
324,168,6640,3139
325,168,6640,2633
326,169,6496,4191
327,169,6496,9779
328,169,6496,4030
329,169,6496,9204
330,170,6496,9779
331,171,6702,5999
332,171,6702,3537
333,172,6873,3823
334,172,6873,4293
335,172,6873,4323
336,173,7023,2633
337,173,7023,3822
338,174,7023,4359
339,175,6959,4479
340,175,6959,5392
341,175,6959,4913
342,176,6959,5392
343,176,6959,4913
344,177,2837,6645
345,177,2837,3338
346,179,7108,5143
347,180,7162,5392
348,180,7162,2901
349,180,7162,5232
350,180,7162,6418
351,181,7162,5392
352,181,7162,8209
353,181,7162,2901
354,181,7162,5232
355,181,7162,6418
356,181,7162,5927
357,182,7553,10005
358,182,7553,5927
359,183,7528,4551
360,184,7587,3507
361,184,7587,4556
362,185,8008,3588
363,185,8008,4752
364,186,8008,4564
365,186,8008,3588
366,186,8008,4752
367,187,3417,5430
368,187,3417,5441
369,187,3417,5451
370,188,3417,5430
371,188,3417,5441
372,188,3417,5451
373,189,8119,6570
374,190,8293,4913
375,191,8293,5392
376,191,8293,4567
377,193,8551,4591
378,194,8389,3506
379,194,8389,5666
380,194,8389,5470
381,195,8725,3956
382,195,8725,5232
383,196,9001,3395
384,198,9122,8274
385,199,9186,4637
386,199,9186,5666
387,199,9186,7447
388,201,585,4648
389,202,585,4648
390,203,9230,4659
391,204,9327,4124
392,204,9327,6950
393,205,9470,4666
394,205,9470,4909
395,205,9470,4910
396,207,10320,4707
397,207,10320,9338
398,208,10320,3395
399,209,10575,4716
400,210,10575,4723
401,210,10575,4716
402,211,10640,4730
403,212,10173,3588
404,212,10173,7447
405,213,11094,4737
406,214,11280,7197
407,215,9408,5392
408,215,9408,8274
409,215,9408,5232
410,216,11473,4744
411,216,11473,4753
412,217,11360,4801
413,217,11360,4807
414,217,11360,4795
415,218,12990,4983
416,219,6589,4773
417,219,6589,6645
418,219,6589,3956
419,220,6589,4773
420,220,6589,6645
421,220,6589,3956
422,221,11754,4780
423,221,11754,6390
424,221,11754,3822
425,222,11729,4816
426,222,11729,4752
427,224,11949,4827
428,225,11912,4843
429,225,11912,4836
430,226,11912,4843
431,226,11912,4836
432,227,12031,5411
433,227,12031,3309
434,228,12076,4843
435,228,12076,4836
436,230,465,8855
437,230,465,6950
438,230,465,5927
439,231,11949,4827
440,231,11949,3677
441,231,11949,8801
442,232,12283,6717
443,232,12283,5666
444,232,12283,4913
445,232,12283,6850
446,232,12283,5927
447,233,12258,7197
448,233,12258,4752
449,233,12258,2918
450,236,12355,4915
451,237,12355,8855
452,239,12427,4924
453,239,12427,6333
454,240,12383,4952
455,240,12383,9623
456,241,12383,4952
457,243,12617,4958
458,243,12617,4967
459,243,12617,3822
460,243,12617,4976
461,243,12617,3551
462,244,12499,3190
463,244,12499,4397
464,244,12499,4952
465,244,12499,3139
466,245,12531,4989
467,245,12531,5764
468,246,11988,5008
469,246,11988,4998
470,246,11988,9779
471,247,11988,5008
472,247,11988,4998
473,247,11988,9779
474,247,11988,5763
475,248,11988,4124
476,248,11988,5008
477,248,11988,4994
478,248,11988,4998
479,248,11988,9779
480,248,11988,4567
481,248,11988,5763
482,250,12659,3732
483,250,12659,5610
484,250,12659,8692
485,250,12659,5077
486,251,12664,3956
487,252,12678,7197
488,252,12678,2633
489,253,12690,5017
490,253,12690,5927
491,254,12690,5027
492,255,12531,5764
493,256,12489,6570
494,256,12489,7447
495,257,12489,3768
496,258,12810,5034
497,258,12810,3859
498,258,12810,5048
499,258,12810,5054
500,258,12810,5059
501,258,12810,5042
502,258,12810,5064
503,258,12810,5074
504,260,12489,4958
505,260,12489,5089
506,260,12489,5098
507,260,12489,5179
508,260,12489,6570
509,260,12489,4124
510,260,12489,6426
511,260,12489,7447
512,260,12489,3768
513,261,12489,5079
514,263,12922,5109
515,263,12922,8347
516,264,12922,5302
517,265,12931,8274
518,266,12931,5186
519,266,12931,5192
520,266,12931,8274
521,266,12931,5179
522,268,12872,4675
523,268,12872,5017
524,268,12872,5154
525,269,13242,5171
526,271,13049,4629
527,272,13485,5165
528,273,13524,7197
529,273,13524,3822
530,274,13524,7197
531,274,13524,3822
532,274,13524,5411
533,275,13612,5171
534,276,13582,4752
535,277,13582,4752
536,277,13582,5927
537,278,13120,2634
538,278,13120,5144
539,278,13120,8131
540,278,13120,6333
541,278,13120,5934
542,280,13230,4761
543,280,13230,8802
544,281,6318,4689
545,282,6318,4689
546,283,10087,8911
547,284,13684,5201
548,285,13696,8855
549,285,13696,5206
550,285,13696,5214
551,286,13030,4675
552,287,13030,4675
553,287,13030,5625
554,288,13871,5223
555,289,13956,6717
556,289,13956,5392
557,289,13956,5232
558,290,13956,6717
559,290,13956,5392
560,290,13956,5232
561,292,13908,6356
562,293,14006,6570
563,293,14006,7197
564,294,21475,5242
565,294,21475,10248
566,294,21475,6859
567,294,21475,6851
568,295,14071,5251
569,296,645,3232
570,296,645,10049
571,297,15097,6895
572,299,14120,6717
573,299,14120,2752
574,300,14120,6717
575,300,14120,2752
576,301,14120,6717
577,302,14120,4697
578,303,6873,4323
579,303,6873,4293
580,304,14306,5257
581,304,14306,4648
582,304,14306,4675
583,305,14306,4648
584,305,14306,4675
585,306,1115,5666
586,306,1115,4147
587,307,1115,5213
588,307,1115,5666
589,307,1115,4147
590,308,14236,5718
591,308,14236,2634
592,309,14236,6048
593,309,14236,5718
594,309,14236,4604
595,309,14236,2634
596,310,666,4753
597,310,666,5017
598,310,666,6113
599,311,666,6113
600,311,666,4753
601,312,14576,5273
602,312,14576,4843
603,314,14629,5283
604,314,14629,9338
605,315,14959,5213
606,315,14959,6513
607,316,14959,5213
608,317,14982,10094
609,317,14982,6915
610,317,14982,7244
611,318,15097,6570
612,318,15097,6895
613,319,14498,3956
614,319,14498,5293
615,319,14498,3822
616,320,14498,3956
617,320,14498,3822
618,321,14498,8802
619,321,14498,3768
620,323,15171,2633
621,335,15828,8655
622,338,15999,5320
623,338,15999,5313
624,340,18008,6645
625,340,18008,4675
626,341,16548,8855
627,341,16548,4753
628,344,16382,5764
629,345,14006,6570
630,345,14006,7197
631,345,14006,5411
632,345,14006,3588
633,346,13927,6717
634,347,16703,8855
635,347,16703,4397
636,348,16745,5223
637,351,16849,5017
638,352,16831,6645
639,352,16831,4675
640,353,212,9194
641,353,212,9293
642,353,212,9338
643,354,16859,4067
644,354,16859,6356
645,355,16859,4067
646,355,16859,6356
647,356,16886,5421
648,356,16886,3704
649,357,3417,4675
650,358,16894,4836
651,359,16927,5302
652,360,16957,8274
653,360,16957,3506
654,361,16987,3089
655,361,16987,4439
656,362,17013,9535
657,363,17013,7475
658,363,17013,5470
659,363,17013,4439
660,363,17013,5479
661,363,17013,7554
662,363,17013,9535
663,364,16859,5490
664,364,16859,9487
665,365,17069,4752
666,365,17069,5283
667,365,17069,5500
668,366,17089,5527
669,366,17089,4675
670,366,17089,5543
671,367,17104,3956
672,368,17120,6570
673,369,17135,5553
674,370,17135,5553
675,370,17135,6645
676,370,17135,4675
677,370,17135,9865
678,371,17150,5560
679,372,17150,4675
680,372,17150,5567
681,372,17150,5579
682,373,17166,4067
683,373,17166,7197
684,373,17166,6645
685,374,17206,5586
686,375,16059,6503
687,376,16256,8274
688,376,16256,3822
689,377,16496,5392
690,378,16496,5392
691,378,16496,4913
692,379,16646,9623
693,380,17254,4124
694,381,17254,4124
695,382,17259,5283
696,383,20202,5392
697,383,20202,2810
698,383,20202,8950
699,384,17281,4874
700,385,17281,4874
701,386,17302,3823
702,387,17302,3823
703,388,17335,5293
704,389,17357,5302
705,389,17357,6895
706,389,17357,3768
707,390,17357,5302
708,390,17357,6895
709,390,17357,3768
710,391,17318,5621
711,391,17318,5613
712,391,17318,7554
713,392,17318,5621
714,392,17318,5613
715,393,17374,6570
716,393,17374,5560
717,393,17374,5641
718,394,17400,5658
719,394,17400,4564
720,394,17400,5650
721,395,17400,4564
722,395,17400,5508
723,395,17400,4675
724,396,16605,4675
725,398,16605,5363
726,399,16630,5371
727,400,16647,9487
728,400,16647,8778
729,401,16647,9487
730,402,601,5381
731,402,601,5393
732,403,16190,3926
733,403,16190,9338
734,404,16215,7976
735,404,16215,5392
736,404,16215,9013
737,405,16215,5392
738,405,16215,9377
739,405,16215,7976
740,406,16237,3823
741,407,16257,7110
742,408,16105,5354
743,409,16125,4968
744,410,16137,5333
745,410,16137,5343
746,411,16086,7197
747,411,16086,6717
748,411,16086,4867
749,412,16086,7197
750,412,16086,6717
751,412,16086,4867
752,412,16086,2918
753,414,17424,8260
754,415,17483,5677
755,416,17424,5027
756,416,17424,9623
757,417,17603,3506
758,419,17603,3506
759,419,17603,5747
760,419,17603,5774
761,420,17603,5688
762,420,17603,3506
763,420,17603,5718
764,420,17603,5726
765,420,17603,5747
766,421,17603,5688
767,421,17603,3506
768,421,17603,5027
769,421,17603,8855
770,421,17603,5698
771,421,17603,5708
772,421,17603,5242
773,422,17603,5688
774,422,17603,3506
775,422,17603,5027
776,422,17603,5718
777,422,17603,5242
778,423,13463,5392
779,423,13463,4731
780,423,13463,5999
781,423,13463,9829
782,424,9186,5666
783,425,17767,5118
784,426,17777,6266
785,427,17777,5792
786,427,17777,5809
787,427,17777,5816
788,428,15032,5827
789,429,17929,5179
790,430,17929,5179
791,431,18198,4843
792,431,18198,7534
793,431,18198,9936
794,431,18198,5613
795,432,18198,7534
796,432,18198,4843
797,432,18198,9936
798,432,18198,5613
799,433,18221,5392
800,433,18221,4675
801,433,18221,7554
802,434,18221,4675
803,435,18244,5232
804,435,18244,5363
805,436,18244,7197
806,436,18244,5852
807,437,18244,7197
808,437,18244,5863
809,437,18244,5852
810,437,18244,4773
811,437,18244,5871
812,438,18407,5877
813,438,18407,7447
814,439,18539,5118
815,440,18551,5283
816,440,18551,7476
817,441,18551,10005
818,441,18551,5283
819,441,18551,7476
820,442,18585,5898
821,443,18574,4913
822,444,18574,4913
823,445,18574,4913
824,445,18574,5717
825,447,18616,5926
826,447,18616,5918
827,447,18616,5907
828,447,18616,5517
829,449,18641,5934
830,450,18646,5942
831,451,18680,6717
832,451,18680,7475
833,451,18680,2901
834,452,18694,4675
835,453,18731,8831
836,454,18746,3588
837,455,18759,5951
838,457,18981,5964
839,458,19014,2918
840,459,18885,3926
841,459,18885,4780
842,460,19092,4604
843,460,19092,5907
844,460,19092,5605
845,460,19092,5927
846,461,19026,5975
847,461,19026,9773
848,462,19154,5631
849,462,19154,5763
850,465,19274,6002
851,465,19274,5993
852,465,19274,6009
853,465,19274,6019
854,466,19294,3506
855,466,19294,4697
856,467,19294,3506
857,468,9408,5213
858,468,9408,5392
859,468,9408,5232
860,468,9408,5764
861,468,9408,8274
862,470,19315,6570
863,471,7107,5242
864,472,19315,6570
865,473,21504,5392
866,473,21504,6266
867,473,21504,4564
868,474,19424,9046
869,476,1767,10005
870,476,1767,10248
871,477,19454,10094
872,477,19454,5927
873,478,19443,6028
874,479,19468,7915
875,480,19479,5527
876,480,19479,2918
877,481,19563,6048
878,481,19563,6058
879,483,19571,5283
880,484,19503,4697
881,484,19503,6038
882,485,19619,6076
883,485,19619,6069
884,485,19619,4147
885,486,19646,6095
886,487,19658,2633
887,487,19658,3822
888,488,19685,6105
889,489,19693,6114
890,489,19693,4836
891,489,19693,8556
892,490,19748,6570
893,490,19748,4675
894,490,19748,5927
895,491,19748,4675
896,492,645,6156
897,492,645,4730
898,493,19944,5392
899,493,19944,6163
900,493,19944,4843
901,494,19944,5392
902,494,19944,6163
903,494,19944,4843
904,495,20035,3776
905,496,20035,6234
906,498,20101,4675
907,499,20134,6275
908,499,20134,5293
909,499,20134,5371
910,500,20134,3926
911,500,20134,5293
912,500,20134,5371
913,501,20165,5941
914,502,20197,5851
915,503,21488,7197
916,503,21488,5567
917,504,20315,5303
918,505,20460,6341
919,506,21265,6570
920,506,21265,3822
921,506,21265,6549
922,507,20513,6357
923,508,20577,4124
924,508,20577,6363
925,508,20577,2634
926,508,20577,6369
927,509,20591,6377
928,509,20591,6386
929,510,20615,4067
930,511,20625,6390
931,511,20625,6398
932,511,20625,5578
933,513,20658,8865
934,514,20670,6411
935,514,20670,4753
936,515,3877,6418
937,516,20704,6570
938,516,20704,6425
939,516,20704,7447
940,518,20732,6442
941,518,20732,6434
942,518,20732,6113
943,519,20778,7197
944,519,20778,8347
945,520,20797,6570
946,520,20797,4648
947,520,20797,4697
948,521,20822,4124
949,522,20868,6474
950,523,3502,6322
951,523,3502,5143
952,523,3502,8598
953,524,3502,5143
954,524,3502,5293
955,525,20879,6482
956,526,699,7664
957,527,20891,6488
958,528,20917,6508
959,528,20917,6504
960,528,20917,6497
961,528,20917,6950
962,528,20917,3658
963,529,1115,5213
964,529,1115,5666
965,529,1115,6513
966,529,1115,10144
967,530,20965,3191
968,532,21070,3395
969,534,12810,3859
970,534,12810,5048
971,534,12810,5054
972,534,12810,5059
973,534,12810,5064
974,534,12810,5074
975,535,12810,3859
976,535,12810,5048
977,535,12810,5054
978,535,12810,5059
979,535,12810,5064
980,535,12810,5074
981,536,21189,9487
982,536,21189,3704
983,538,21209,6544
984,539,21275,8485
985,540,21282,3956
986,541,21042,7821
987,542,20285,3565
988,543,20285,10094
989,543,20285,7595
990,544,17929,5042
991,544,17929,5179
992,544,17929,3823
993,545,21290,8635
994,545,21290,5927
995,548,21315,5941
996,548,21315,8635
997,548,21315,5666
998,548,21315,5927
999,549,21318,6058
1000,550,21488,9954
1001,551,12165,4153
1002,553,8389,3506
1003,553,8389,4067
1004,553,8389,5666
1005,553,8389,5470
1006,554,21367,6632
1007,555,21381,5666
1008,556,21383,7697
1009,557,21388,6667
1010,558,21393,10049
1011,558,21393,9252
1012,558,21393,3466
1013,560,21179,2633
1014,560,21179,6038
1015,561,18220,4675
1016,562,18220,3089
1017,563,21429,6680
1018,564,8725,5232
1019,564,8725,4648
1020,564,8725,3956
1021,565,21435,9534
1022,565,21435,6694
1023,565,21435,5017
1024,566,21435,6694
1025,566,21435,5017
1026,567,21435,6694
1027,568,2187,6895
1028,569,21443,6709
1029,570,21446,6718
1030,570,21446,4752
1031,571,7068,4397
1032,571,7068,3089
1033,571,7068,5927
1034,572,7068,7197
1035,572,7068,4397
1036,572,7068,3089
1037,573,18766,6333
1038,573,18766,7198
1039,574,432,5956
1040,575,21454,5666
1041,575,21454,5851
1042,576,19927,8855
1043,577,20929,8855
1044,577,20929,6193
1045,577,20929,6333
1046,577,20929,4675
1047,577,20929,7447
1048,578,20929,4675
1049,578,20929,7447
1050,579,21452,5392
1051,580,20542,5392
1052,582,1646,8121
1053,583,21332,4843
1054,584,1002,5403
1055,585,21488,9534
1056,586,20237,5666
1057,586,20237,4697
1058,586,20237,9721
1059,587,212,9194
1060,587,212,9293
1061,587,212,6747
1062,587,212,7380
1063,587,212,9338
1064,587,212,4575
1065,588,21491,8347
1066,588,21491,2879
1067,589,16831,5411
1068,590,21501,6755
1069,591,19395,6570
1070,592,21469,8635
1071,592,21469,4675
1072,593,20157,6763
1073,594,21408,8347
1074,597,21535,5907
1075,597,21535,9623
1076,598,21537,6783
1077,598,21537,3956
1078,598,21537,6772
1079,598,21537,3169
1080,599,21538,6795
1081,599,21538,8347
1082,599,21538,4397
1083,600,21538,6795
1084,600,21538,8347
1085,600,21538,4397
1086,600,21538,6805
1087,602,21546,7483
1088,604,21561,8856
1089,605,21561,6837
1090,605,21561,6932
1091,605,21561,8856
1092,606,20134,3926
1093,606,20134,6275
1094,606,20134,6266
1095,606,20134,5293
1096,606,20134,5371
1097,608,21584,6845
1098,608,21584,4843
1099,609,21593,8274
1100,609,21593,5941
1101,609,21593,7447
1102,610,21595,5232
1103,612,21600,10005
1104,612,21600,5631
1105,612,21600,4415
1106,614,21603,6570
1107,614,21603,7197
1108,614,21603,5411
1109,614,21603,6886
1110,614,21603,6875
1111,614,21603,3822
1112,615,15306,5411
1113,615,15306,7030
1114,615,15306,5907
1115,615,15306,4675
1116,616,11,6895
1117,617,20,10094
1118,617,20,5927
1119,619,17055,6058
1120,619,17055,8315
1121,620,69,5578
1122,621,82,6915
1123,621,82,6925
1124,621,82,7244
1125,621,82,9028
1126,623,105,3507
1127,624,105,7566
1128,625,118,4816
1129,625,118,5017
1130,625,118,7554
1131,626,136,10094
1132,627,152,6964
1133,628,152,6570
1134,629,17166,7197
1135,629,17166,5411
1136,629,17166,6645
1137,630,13080,6971
1138,631,200,6570
1139,631,200,4780
1140,631,200,5411
1141,631,200,8635
1142,632,14703,4675
1143,632,14703,5927
1144,633,197,3395
1145,633,197,5907
1146,634,200,6570
1147,634,200,4780
1148,634,200,8635
1149,635,20237,5666
1150,636,209,4604
1151,637,213,4479
1152,637,213,6717
1153,637,213,6981
1154,638,219,7006
1155,638,219,5836
1156,639,211,6570
1157,640,226,8956
1158,640,226,5027
1159,641,232,4124
1160,641,232,5941
1161,641,232,4752
1162,641,232,5907
1163,641,232,5666
1164,642,232,5941
1165,642,232,4752
1166,643,16457,4697
1167,644,226,8956
1168,644,226,5027
1169,645,236,7015
1170,645,236,5508
1171,645,236,9085
1172,646,226,5603
1173,647,241,6645
1174,647,241,4913
1175,648,241,7022
1176,648,241,6645
1177,648,241,4913
1178,649,19927,8855
1179,650,252,4556
1180,650,252,4030
1181,651,259,6645
1182,651,259,4675
1183,651,259,7070
1184,652,259,7038
1185,652,259,4733
1186,652,259,6645
1187,652,259,4675
1188,652,259,7070
1189,652,259,7047
1190,652,259,3447
1191,653,250,6113
1192,653,250,6950
1193,655,281,2633
1194,656,295,7124
1195,656,295,5843
1196,656,295,7115
1197,656,295,6333
1198,656,295,3478
1199,658,15377,6971
1200,659,306,7290
1201,660,306,4707
1202,664,17374,6570
1203,664,17374,5560
1204,664,17374,4675
1205,665,352,7157
1206,666,365,6341
1207,667,385,10094
1208,667,385,4067
1209,667,385,4752
1210,667,385,5927
1211,668,66,5508
1212,669,66,5508
1213,672,408,5631
1214,673,2837,6645
1215,673,2837,5179
1216,674,423,5257
1217,675,391,3588
1218,675,391,7208
1219,676,436,7218
1220,677,436,6549
1221,677,436,5179
1222,678,19816,7238
1223,678,19816,6333
1224,678,19816,6875
1225,678,19816,4567
1226,679,441,7257
1227,679,441,7268
1228,682,441,7268
1229,683,444,6915
1230,683,444,7279
1231,684,450,4479
1232,684,450,5027
1233,687,461,7197
1234,687,461,5666
1235,688,474,3232
1236,688,474,4675
1237,689,450,5027
1238,690,450,4479
1239,690,450,5027
1240,691,19944,7329
1241,692,490,7320
1242,694,406,7089
1243,695,289,7096
1244,695,289,7104
1245,696,491,5143
1246,697,15204,7534
1247,697,15204,6850
1248,698,473,4615
1249,698,473,4604
1250,698,473,7476
1251,699,473,4604
1252,699,473,7554
1253,699,473,7476
1254,700,20950,6113
1255,701,12143,5718
1256,701,12143,2851
1257,702,12143,7350
1258,703,497,7369
1259,704,494,3588
1260,705,504,8802
1261,706,507,6570
1262,707,513,7381
1263,709,516,8561
1264,710,516,5027
1265,710,516,5717
1266,710,516,8561
1267,711,541,7407
1268,711,541,7398
1269,711,541,7447
1270,712,541,7447
1271,712,541,5927
1272,713,438,5098
1273,714,548,6645
1274,714,548,4576
1275,716,558,4744
1276,717,558,5392
1277,717,558,6645
1278,718,572,7429
1279,719,19833,5232
1280,719,19833,5666
1281,719,19833,3268
1282,719,19833,4397
1283,719,19833,9535
1284,719,19833,5927
1285,721,579,3822
1286,722,586,7439
1287,724,592,5764
1288,725,0,6795
1289,725,0,5763
1290,726,0,6570
1291,726,0,6795
1292,726,0,5763
1293,728,213,4479
1294,728,213,6981
1295,729,606,7491
1296,730,554,5232
1297,730,554,7418
1298,731,615,6718
1299,732,617,9046
1300,732,617,6850
1301,732,617,6915
1302,733,617,7515
1303,733,617,9046
1304,734,1190,3506
1305,735,619,7525
1306,735,619,3588
1307,736,619,7525
1308,736,619,3588
1309,736,619,5956
1310,737,626,7534
1311,737,626,7545
1312,737,626,7566
1313,737,626,7554
1314,738,626,7534
1315,738,626,7545
1316,738,626,7554
1317,738,626,5927
1318,739,630,7576
1319,740,630,7576
1320,741,633,8855
1321,741,633,7587
1322,741,633,5774
1323,741,633,5154
1324,742,291,6717
1325,742,291,5764
1326,743,637,5613
1327,743,637,4697
1328,744,649,3859
1329,745,651,7616
1330,745,651,7605
1331,746,652,5392
1332,746,652,5232
1333,746,652,6390
1334,746,652,7381
1335,746,652,8993
1336,747,657,5877
1337,748,17058,6266
1338,749,3362,5877
1339,750,661,7534
1340,751,662,7627
1341,751,662,7638
1342,752,667,10079
1343,753,669,10005
1344,754,4121,4124
1345,754,4121,4067
1346,754,4121,5179
1347,755,672,7646
1348,755,672,4397
1349,756,674,9623
1350,756,674,4697
1351,756,674,8993
1352,757,677,6450
1353,758,251,5666
1354,758,251,7654
1355,758,251,3191
1356,758,251,4147
1357,758,251,6411
1358,758,251,6915
1359,759,683,7168
1360,760,687,5907
1361,760,687,4675
1362,761,687,5907
1363,761,687,4675
1364,762,700,7670
1365,763,12727,7681
1366,763,12727,6950
1367,763,12727,5578
1368,764,12727,7681
1369,764,12727,6950
1370,764,12727,5578
1371,765,710,7545
1372,766,716,7715
1373,766,716,8855
1374,766,716,7706
1375,766,716,5179
1376,767,716,8855
1377,768,712,7697
1378,769,70,7725
1379,769,70,6257
1380,769,70,6725
1381,770,718,10005
1382,770,718,6845
1383,771,18423,5567
1384,772,724,7743
1385,772,724,7736
1386,773,2247,7766
