,Full Name,Gender,Number of News Articles,Number of Founded Organizations,Number of Portfolio Companies,Number of Investments_x,Number of Partner Investments,Number of Lead Investments_x,Number of Exits_x,Number of Events_x,Operating Status,Founded Date,Closed Date,Company Type,Number of Founders,Success,Founder
37,Sean Parker,1,1196,7,13,14,9,3,3,1,1,2007,0,1,2,1,1
38,Bindu Reddy,0,25,2,0,0,0,0,0,0,1,2010,0,1,2,1,1
39,Arvind Sundararajan,1,8,2,0,0,0,0,0,0,1,2010,0,1,2,1,1
40,Shan-Lyn Ma,0,23,1,3,5,0,0,0,3,1,2013,0,1,4,1,1
41,Nobu Nakaguchi,1,9,1,0,0,0,0,0,1,1,2013,0,1,4,1,1
42,Felix Lung,1,1,1,0,0,0,0,0,0,1,2013,0,1,4,1,1
43,Justin Kan,1,380,7,29,32,0,0,4,19,1,0,0,1,4,0,0
44,Eric Lefkofsky,1,434,9,3,4,103,0,1,0,1,2015,0,1,1,1,1
45,Tom Brady,1,429,1,0,0,0,0,0,0,1,2012,0,1,4,0,1
46,Samuel DeBruin,1,0,1,0,0,0,0,0,0,1,2012,0,1,4,0,1
47,Danny Ellis,1,3,1,0,0,0,0,0,0,1,2012,0,1,4,0,1
48,Brian Chesky,1,884,2,4,5,0,0,3,5,1,2008,0,1,3,1,1
49,Joe Gebbia,1,294,1,3,3,0,0,1,3,1,2008,0,1,3,1,1
50,Nathan Blecharczyk,1,217,1,3,3,0,0,0,7,1,2008,0,1,3,1,1
51,Ryan Holmes,1,368,6,19,19,0,0,4,3,1,2008,0,1,3,0,1
52,David Tedman,1,7,5,1,2,0,0,0,0,1,2008,0,1,3,1,1
53,Kumar Gaurav,1,83,2,0,0,0,0,0,4,1,2016,0,1,1,0,1
54,Vinny Lingham,1,199,5,10,12,0,0,1,5,1,2016,0,1,2,0,1
55,Jonathan Smith,1,0,1,1,1,0,0,0,1,1,2016,0,1,2,0,1
56,Aaron Levie,1,1914,1,27,32,0,0,3,23,1,2005,0,0,2,1,1
57,Dylan Smith,1,156,1,4,5,0,0,1,0,1,2005,0,0,2,1,1
58,Karen Appleton,0,21,1,0,0,0,0,0,2,1,2005,0,0,2,1,1
59,John Zimmer,1,567,2,0,0,0,0,0,6,1,2007,0,1,3,1,1
60,Logan Green,1,232,2,0,0,0,0,0,3,1,2007,0,1,3,1,1
61,Sallie Krawcheck,0,190,1,1,1,0,0,0,8,1,2014,0,1,2,0,1
62,Charlie Kroll,1,5,2,0,0,0,0,0,0,1,2014,0,1,2,0,1
63,Bhavish Aggarwal,1,201,1,4,4,0,0,0,3,1,2010,0,1,2,1,1
64,Ankit Bhati,1,106,1,2,2,0,0,0,1,1,2010,0,1,2,1,1
65,Sebastian Thrun,1,329,2,0,0,0,0,0,8,1,2011,0,1,3,1,1
66,Adam D_Œ‹Œ_Angelo,1,279,1,19,20,0,0,4,2,1,2009,0,1,2,1,0
67,Dileep George,1,67,2,0,0,0,0,0,2,1,2010,0,1,3,1,1
68,D. Scott Phoenix,1,19,2,0,0,0,0,0,1,1,2010,0,1,3,1,1
69,Casey Neistat,1,107,1,0,0,0,0,0,4,0,2015,2017,1,2,1,1
70,Matt Hackett,1,0,1,0,0,0,0,0,0,0,2015,2017,1,2,1,1
71,David Hickey,1,1,1,0,0,0,0,0,0,1,2012,0,1,2,0,0
72,Bryan Johnson,1,62,3,8,8,1,1,0,7,1,2016,0,1,1,0,1
73,Paul Ryan,1,289,2,0,0,0,0,0,0,1,2013,0,1,2,0,1
74,Mada Seghete,0,10,2,0,0,0,0,0,22,1,2014,0,1,4,1,1
75,Mada Seghete,0,10,2,0,0,0,0,0,22,1,2011,0,1,3,1,1
76,Dmitri Gaskin,1,4,1,0,0,0,0,0,0,1,2014,0,1,4,1,1
77,Dmitri Gaskin,1,4,1,0,0,0,0,0,0,1,2011,0,1,3,1,1
78,Mike Molinet,1,8,1,0,0,0,0,0,1,1,2014,0,1,4,1,1
79,Mike Molinet,1,8,1,0,0,0,0,0,1,1,2011,0,1,3,1,1
80,Hursh Agrawal,1,13,1,0,0,0,0,0,0,1,2014,0,1,4,1,1
81,Hursh Agrawal,1,13,1,0,0,0,0,0,0,1,2011,0,1,3,1,1
82,Ryan Seacrest,1,479,2,4,4,0,0,1,0,1,2013,0,0,2,0,1
83,John Katzman,1,48,4,8,9,0,0,0,3,1,2010,0,1,2,0,1
84,Taavet Hinrikus,1,252,1,11,15,0,0,2,15,1,2010,0,1,2,1,1
85,Kristo Kaarmann,1,88,2,0,0,0,0,0,2,1,2010,0,1,2,1,1
86,James Park,1,447,3,1,1,0,0,0,5,1,2007,0,1,3,1,1
87,Eric Friedman,1,17,2,0,0,0,0,0,2,1,2007,0,1,3,1,1
88,Brian Acton,1,263,1,1,1,0,1,0,1,1,2009,0,1,2,1,1
89,Jan Koum,1,717,1,0,0,0,0,0,5,1,2009,0,1,2,1,1
90,Jen-Hsun Huang,1,1094,1,0,0,0,0,0,4,1,1993,0,1,2,1,1
91,Chris Malachowsky,1,3,1,0,0,0,0,0,0,1,1993,0,1,2,1,1
92,John Collison,1,200,1,8,8,0,0,1,14,1,2010,0,1,2,1,1
93,Patrick Collison,1,271,2,8,8,1,0,2,10,1,2010,0,1,2,1,1
94,Conor Murray,1,132,1,0,0,0,0,0,0,1,2015,0,1,3,0,1
95,Joshua Levin,1,0,1,0,0,0,0,0,0,1,2015,0,1,3,0,1
96,Phillip Wei,1,0,1,0,0,0,0,0,0,1,2015,0,1,3,0,1
97,Ryan Petersen,1,46,2,12,14,0,0,1,0,1,2013,0,1,1,1,0
98,Dror Tamir,1,185,2,0,0,0,0,0,0,1,2014,0,1,3,0,1
99,Chanan Aviv,1,67,1,0,0,0,0,0,0,1,2014,0,1,3,0,1
100,Ben Friedman,1,68,1,0,0,0,0,0,0,1,2014,0,1,3,0,1
101,Justin Waldron,1,32,1,31,33,0,0,4,0,1,2007,0,1,4,1,1
102,Mark Pincus,1,1304,4,39,42,0,2,13,2,1,2007,0,1,4,1,1
103,Steve Schoettler,1,16,2,2,3,0,1,0,0,1,2007,0,1,4,1,1
104,Vivek Garipalli,1,17,3,3,3,0,0,0,0,1,2013,0,1,2,1,1
105,Kris Gale,1,9,1,1,1,0,0,0,1,1,2013,0,1,2,1,1
106,Matt Mullenweg,1,760,4,36,39,0,1,14,6,1,2005,0,1,1,1,1
107,Andy Dunn,1,263,3,16,17,0,0,3,3,1,2007,0,0,2,1,1
108,Beck Besecker,1,28,1,1,2,0,0,0,1,1,2011,0,1,2,1,1
109,Barry Besecker,1,1,1,0,0,0,0,0,0,1,2011,0,1,2,1,1
110,Walter Ferrara,1,0,2,0,0,0,0,0,0,1,2015,0,1,3,0,1
111,Patrick Peterson,1,70,1,0,0,0,0,0,0,1,2009,0,1,2,1,1
112,Eugene Kaspersky,1,458,1,0,0,0,0,0,3,1,1997,0,1,1,1,1
113,Shlomo Kramer,1,102,4,19,32,0,2,8,0,1,2015,0,1,2,1,1
114,Gur Shatz,1,5,2,1,1,0,0,0,1,1,2015,0,1,2,1,1
115,Ragy Thomas,1,47,1,0,0,0,0,0,4,1,2009,0,1,1,1,1
116,Andrew Ng,1,87,3,0,0,0,0,0,12,1,2012,0,1,2,1,1
117,Anne Wojcicki,0,399,2,7,7,0,0,0,7,1,2006,0,1,2,1,1
118,Panos Panay,1,264,1,0,0,0,0,0,1,1,1999,0,1,1,1,1
119,Semil Shah,1,412,1,71,80,1,2,8,4,1,2014,0,1,3,0,1
120,Ran Heimann,1,0,1,0,0,0,0,0,0,1,2014,0,1,3,0,1
121,Julian Teicke,1,7,3,3,3,0,0,0,6,1,2014,0,1,7,0,1
122,Fabian Wesemann,1,0,1,0,0,0,0,0,0,1,2014,0,1,7,0,1
123,Jonathan Seoane,1,0,2,0,0,0,0,0,0,1,2014,0,1,7,0,1
124,Teodoro Martino,1,0,1,0,0,0,0,0,0,1,2014,0,1,7,0,1
125,Brendan Iribe,1,721,3,1,1,0,0,0,3,1,2012,0,1,5,1,1
126,Nate Mitchell,1,57,1,0,0,0,0,0,1,1,2012,0,1,5,1,1
127,Kevin Systrom,1,1440,1,2,2,0,0,0,4,1,2010,0,1,2,1,1
128,Mike Krieger,1,264,1,3,3,0,0,2,2,1,2010,0,1,2,1,1
129,Justin Rosenstein,1,157,1,6,6,0,0,0,3,1,2008,0,1,2,1,1
130,Dustin Moskovitz,1,405,3,9,11,0,0,2,6,1,2008,0,1,2,1,1
131,Eric Ries,1,568,3,29,31,0,1,7,7,1,2015,0,1,1,0,1
132,Julie Wainwright,0,34,1,0,0,0,0,0,1,1,2011,0,1,1,1,1
133,Brad Keywell,1,223,11,2,2,21,0,2,4,1,2014,0,1,2,1,1
134,Arjun Kapoor,1,67,1,0,0,0,0,0,0,1,2015,0,1,1,0,1
135,Greg Duffy,1,188,1,0,0,0,0,0,0,1,2009,0,1,2,1,1
136,Evan Spiegel,1,1222,2,0,0,0,0,0,3,1,2011,0,1,3,1,1
137,Bobby Murphy,1,229,2,0,0,0,0,0,0,1,2011,0,1,3,1,1
138,Reggie Brown,1,5,1,0,0,0,0,0,0,1,2011,0,1,3,1,1
139,Jonah Peretti,1,463,2,1,1,1,0,0,12,1,2006,0,1,2,1,1
140,John Johnson,1,12,6,2,3,0,0,1,0,1,2006,0,1,2,1,1
141,Renaud Laplanche,1,203,3,1,1,0,0,0,4,1,2016,0,1,2,0,1
142,Jeff Bogan,1,4,1,0,0,0,0,0,1,1,2016,0,1,2,0,1
143,Jake Paul,1,39,1,0,0,0,0,0,1,1,2016,0,1,1,0,1
144,Patrick Kane,1,41,1,0,0,0,0,0,3,1,2013,0,1,1,0,1
145,Thierry Petit,1,28,1,6,6,0,0,0,6,1,2006,0,0,1,0,1
146,Anthony Wood,1,227,4,1,1,0,1,1,0,1,2002,0,1,1,1,1
147,Rob Ford,1,29,1,0,0,0,0,0,0,1,2012,0,0,1,0,1
148,Karim Atiyeh,1,2,1,3,3,0,0,1,0,1,2014,0,1,2,1,1
149,Eric Glyman,1,2,1,3,3,0,0,1,0,1,2014,0,1,2,1,1
150,Alan Yu,1,10,2,0,0,0,0,0,0,1,2013,0,1,5,0,1
151,Erik Lammerding,1,9,1,0,0,0,0,0,1,1,2013,0,1,5,0,1
152,Steve Detwiler,1,0,1,0,0,0,0,0,0,1,2013,0,1,5,0,1
153,Steve Detwiler,1,0,1,0,0,0,0,0,0,1,2013,0,1,5,0,1
154,Erik Voorhees,1,59,2,2,2,0,0,0,2,1,2014,0,1,1,0,1
155,Scot Chisholm,1,10,1,3,3,0,0,0,2,1,2006,0,1,3,1,1
156,Pat Walsh,1,5,1,0,0,0,0,0,0,1,2006,0,1,3,1,1
157,Jennifer Hyman,0,60,1,5,5,0,0,0,6,1,2009,0,1,2,1,1
158,Jennifer Fleiss,0,37,1,0,0,0,0,0,3,1,2009,0,1,2,1,1
159,Spencer Rascoff,1,338,1,7,7,3,0,1,4,1,2005,0,1,2,1,0
160,Lloyd Frink,1,58,1,2,2,0,0,0,0,1,2005,0,1,2,1,1
161,Melanie Perkins,0,29,1,1,2,0,0,0,0,1,2012,0,1,3,0,1
162,Cameron Adams,1,20,3,0,0,0,0,0,1,1,2012,0,1,3,0,1
163,Cliff Obrecht,1,29,1,0,0,0,0,0,0,1,2012,0,1,3,0,1
164,James Siminoff,1,54,4,3,3,0,0,1,4,1,2012,0,1,1,1,1
165,Adam Smith,1,14,2,5,5,0,0,2,0,1,2014,0,1,1,1,1
166,Adam Smith,1,14,2,5,5,0,0,2,0,1,2014,0,1,3,1,1
167,Charlie Carpenter,1,0,2,0,0,0,0,0,1,1,2014,0,1,1,1,1
168,Charlie Carpenter,1,0,2,0,0,0,0,0,1,1,2014,0,1,3,1,1
169,Matthew Prince,1,428,1,0,0,0,0,0,8,1,2009,0,1,3,1,1
170,Michelle Zatlyn,0,72,1,0,0,0,0,0,15,1,2009,0,1,3,1,1
171,Mario Schlosser,1,142,2,0,0,0,0,0,3,1,2013,0,1,3,1,1
172,Josh James,1,157,2,19,22,0,1,6,3,1,2010,0,1,1,1,1
173,Chris M. Willliams,1,0,2,12,13,0,0,1,1,1,2017,0,1,2,0,1
174,Kevin Anderson,1,28,1,0,0,0,0,0,0,1,2011,0,1,3,1,1
175,Max Roper,1,5,1,0,0,0,0,0,0,1,2011,0,1,3,1,1
176,Jason Pratts,1,1,1,0,0,0,0,0,0,1,2011,0,1,3,1,1
177,Kathryn Minshew,0,126,2,0,0,0,0,0,10,1,2011,0,1,3,1,1
178,Alex Cavoulacos,0,18,2,0,0,0,0,0,1,1,2011,0,1,3,1,1
179,Yueting Jia,1,91,2,0,0,0,0,0,0,1,2004,0,1,2,1,1
180,Hank Liu,1,0,1,0,0,0,0,0,0,1,2004,0,1,2,1,1
181,Manish Tewari,1,24,2,0,0,0,0,0,0,1,2010,0,1,3,1,1
182,Kanishk Shukla,1,0,1,0,0,0,0,0,0,1,2010,0,1,3,1,1
183,Sebastian Siemiatkowski,1,46,1,6,7,0,0,0,7,1,2005,0,1,3,1,1
184,Auren Hoffman,1,127,5,51,57,0,0,18,6,1,2016,0,1,2,0,1
185,Brent Perez,1,0,1,0,0,0,0,0,0,1,2016,0,1,2,0,1
186,Cameron Smith,1,76,1,0,0,0,0,0,0,1,2013,0,1,3,0,1
187,Vince Alessi,1,0,1,0,0,0,0,0,0,1,2013,0,1,3,0,1
188,Anand Sharma,1,51,3,0,0,0,0,0,0,1,2014,0,1,2,0,1
189,Ted Danson,1,33,1,0,0,0,0,0,0,1,2001,0,1,1,0,1
190,Amanda Hesser,0,52,1,0,0,0,0,0,2,1,2009,0,1,2,1,1
191,Merrill Stubbs,0,22,1,0,0,0,0,0,1,1,2009,0,1,2,1,1
192,Kris Fredrickson,1,3,1,2,2,0,0,0,0,1,2014,0,1,3,1,1
193,David Lortscher,1,1,1,0,0,0,0,0,0,1,2014,0,1,3,1,0
194,Dave Asprey,1,19,1,0,0,0,0,0,1,1,2014,0,1,1,1,1
195,Martin Tobias,1,84,3,2,3,1,0,1,0,1,2014,0,1,1,1,0
196,Luc De Vos,1,3,1,6,9,0,2,0,0,1,2015,0,1,1,0,0
197,Rich Barton,1,316,5,15,20,12,0,4,1,1,2007,0,1,3,1,1
198,Robert Hohman,1,123,1,1,1,0,0,0,0,1,2007,0,1,3,1,1
199,Tim Besse,1,11,1,0,0,0,0,0,0,1,2007,0,1,3,1,1
200,Eric Berry,1,37,1,0,0,0,0,0,1,1,2012,0,1,3,1,1
201,Ari Lewine,1,9,1,0,0,0,0,0,2,1,2012,0,1,3,1,1
202,Bhavin Turakhia,1,38,7,1,2,0,2,0,0,1,2005,0,0,3,1,1
203,Max Polyakov,1,7,6,0,0,0,0,0,6,1,2015,0,0,2,0,1
204,Amnon Shashua,1,140,3,1,1,0,0,0,1,1,1999,0,0,2,1,1
205,Ziv Aviram,1,25,2,0,0,0,0,0,0,1,1999,0,0,2,1,1
206,Jeremy Allaire,1,304,2,1,1,0,0,1,6,1,2013,0,1,2,1,1
207,Sean Neville,1,25,1,0,0,0,0,0,1,1,2013,0,1,2,1,1
208,Dennis Crowley,1,1178,1,6,6,0,0,3,8,1,2009,0,1,2,1,1
209,Jeff Glueck,1,149,1,0,0,0,0,0,3,1,2009,0,1,2,1,0
210,Michael Rasmussen,1,49,1,0,0,0,0,0,0,1,2009,0,1,1,0,1
211,Jason Gross,1,0,1,0,0,0,0,0,0,1,2016,0,0,4,0,1
212,Jason Gross,1,0,1,0,0,0,0,0,0,1,2016,0,0,4,0,1
213,Aneesh Reddy,1,48,1,8,8,0,0,0,1,1,2008,0,1,3,1,1
214,Robin Li,1,425,1,0,0,0,0,0,1,1,1999,0,1,2,1,1
215,Eric Xu,1,11,1,1,1,0,0,0,0,1,1999,0,1,2,1,1
216,Adam Neumann,1,137,5,2,2,0,0,0,5,1,2011,0,1,2,1,1
217,Miguel McKelvey,1,97,5,0,0,0,0,0,6,1,2011,0,1,2,1,1
218,Will Neale,1,3,4,11,11,0,0,0,0,1,2013,0,0,1,0,1
219,Emmett Shear,1,203,2,11,11,0,0,2,4,1,2007,0,1,3,1,1
220,John McDonnell,1,138,1,0,0,0,0,0,1,1,2013,0,1,2,1,0
221,Cheng Wei,1,133,1,0,0,1,0,0,1,1,2012,0,1,1,1,1
222,Matt Mickiewicz,1,98,4,3,3,0,0,0,1,1,2012,0,1,3,1,1
223,Allan Grant,1,25,3,1,1,0,0,0,10,1,2012,0,1,3,1,1
224,Douglas Feirstein,1,12,3,4,4,0,0,1,0,1,2012,0,1,3,1,1
225,Jens Nylander,1,15,4,0,0,0,0,0,2,1,2013,0,1,4,1,1
226,Felix RosíŒ©n,1,0,1,0,0,0,0,0,0,1,2013,0,1,4,1,1
227,Bob Richards,1,27,1,0,0,0,0,0,1,1,2010,0,1,3,1,1
228,Marc Fleischmann,1,11,2,0,0,0,0,0,0,1,2013,0,1,2,0,0
229,Nick Bellinger,1,0,1,0,0,0,0,0,0,1,2013,0,1,2,0,1
230,Mark Duffy,1,25,1,0,0,0,0,0,0,1,2012,0,0,4,1,1
231,Subhash Roy,1,3,2,0,0,0,0,0,0,1,2012,0,0,4,1,1
232,Shintaro Yamada,1,12,1,2,2,0,0,1,0,1,2013,0,1,4,1,0
233,Ryo Ishizuka,1,7,1,0,0,0,0,0,2,1,2013,0,1,4,1,1
234,Tommy Tomishima,1,0,1,0,0,0,0,0,0,1,2013,0,1,4,1,1
235,Santosh Kalwar,1,19,1,4,4,0,1,0,0,1,2015,0,1,1,0,1
236,Ryan Wuerch,1,35,3,0,0,0,0,0,0,1,2016,0,1,2,0,1
237,Aaron Skonnard,1,109,1,2,3,0,0,0,3,1,2004,0,1,2,1,0
238,Amit Steinberg,1,0,1,0,0,0,0,0,0,1,2016,0,1,5,1,1
239,Omer David Keilaf,1,0,1,0,0,0,0,0,0,1,2016,0,1,5,1,1
240,Omer David Keilaf,1,0,1,0,0,0,0,0,0,1,2016,0,1,5,1,1
241,Oren Buskila,1,0,1,0,0,0,0,0,0,1,2016,0,1,5,1,1
242,Oren Rosenzweig,1,0,1,0,0,0,0,0,0,1,2016,0,1,5,1,1
243,Patrick Moberg,1,24,2,0,0,0,0,0,0,1,2013,0,1,2,0,1
244,Matt Hagger,1,7,3,8,8,0,0,0,0,1,2015,0,1,1,0,1
245,Jason Tan,1,22,1,1,1,0,0,0,3,1,2011,0,1,2,1,1
246,Sukhinder Singh,0,76,3,2,3,0,0,0,10,1,2011,0,1,2,1,1
247,Gleb Budman,1,65,1,0,0,0,0,0,1,1,2007,0,1,1,0,1
248,Ursula Burns,0,203,1,0,0,0,0,0,0,1,1906,0,1,2,1,0
249,Sandeep Aggarwal,1,115,2,2,2,0,0,1,3,1,2014,0,1,1,1,1
250,Matt Humphrey,1,16,1,14,15,0,0,2,2,1,2013,0,1,2,1,1
251,James Herbert,1,0,2,0,0,0,0,0,0,1,2013,0,1,2,1,1
252,Bastian Lehmann,1,95,2,1,1,0,0,0,8,1,2011,0,1,3,1,1
253,Sean Plaice,1,6,2,0,0,0,0,0,0,1,2011,0,1,3,1,1
254,Sam Street,1,3,2,0,0,0,0,0,0,1,2011,0,1,3,1,1
255,Nat Turner,1,55,2,14,15,2,0,4,0,1,2012,0,1,2,1,1
256,Zach Weinberg,1,46,2,15,16,0,0,4,3,1,2012,0,1,2,1,1
257,Siva Kumar,1,22,2,1,1,0,0,0,0,1,2004,0,1,4,1,1
258,Shashikant Khandelwal,1,1,1,0,0,0,0,0,0,1,2004,0,1,4,1,1
259,Michael Katz,1,31,3,6,6,0,0,0,1,1,2013,0,1,5,1,1
260,Dave Myers,1,4,1,0,0,1,0,0,0,1,2013,0,1,5,1,1
261,Sean Duffy,1,75,2,1,1,0,0,0,7,1,2011,0,1,3,1,1
262,Andrew DiMichele,1,2,1,0,0,0,0,0,0,1,2011,0,1,3,1,1
263,Adrian James,1,2,1,0,0,0,0,0,0,1,2011,0,1,3,1,1
264,Zishaan Hayath,1,63,2,10,10,0,0,2,0,1,2013,0,1,2,1,1
265,Hemanth Goteti,1,8,1,0,0,0,0,0,0,1,2013,0,1,2,1,1
266,Fritz Lanman,1,87,4,26,29,6,2,5,2,1,2013,0,1,3,1,0
267,Kavin Bharti Mittal,1,100,2,0,0,0,0,0,4,1,2012,0,1,1,1,1
268,Marc Randolph,1,53,2,4,4,0,0,1,3,1,2011,0,1,3,1,1
269,Lloyd Tabb,1,28,4,0,0,0,0,0,2,1,2011,0,1,3,1,1
270,Ben Porterfield,1,4,1,0,0,0,0,0,0,1,2011,0,1,3,1,1
271,Brian Harrison,1,2,1,0,0,0,0,0,0,1,2012,0,1,2,0,1
272,Debbie Williamson,0,3,1,0,0,0,0,0,0,1,2012,0,1,2,0,1
273,George Hotz,1,11,1,0,0,0,0,0,5,1,2015,0,1,1,0,1
274,Ian Hogarth,1,80,2,7,7,0,1,0,0,1,2016,0,1,3,0,1
275,Phil McGraw,1,24,1,0,0,0,0,0,0,1,2012,0,1,3,1,1
276,Jay McGraw,1,14,1,0,0,0,0,0,0,1,2012,0,1,3,1,1
277,Oskar Hartmann,1,24,3,3,3,0,0,1,0,1,2008,0,1,4,1,1
278,Frederic Kerrest,1,19,2,1,1,0,0,0,7,1,2009,0,1,2,1,1
279,Todd McKinnon,1,99,1,0,0,0,0,0,10,1,2009,0,1,2,1,1
280,Othman Laraki,1,56,2,27,29,0,1,5,0,1,2013,0,1,4,1,1
281,Nish Bhat,1,0,1,0,0,0,0,0,1,1,2013,0,1,4,1,0
282,Taylor Sittler,1,1,1,0,0,0,0,0,0,1,2013,0,1,4,1,1
283,Ev Williams,1,1458,7,9,10,0,0,2,6,1,2011,0,1,3,1,0
284,Mark Vadon,1,83,2,4,4,0,1,0,1,1,2009,0,1,2,1,1
285,Darrell Cavens,1,125,1,2,2,0,0,0,0,1,2009,0,1,2,1,1
286,Apoorva Mehta,1,116,1,0,0,0,0,0,2,1,2012,0,1,3,1,1
287,Max Mullen,1,9,2,1,1,0,0,0,5,1,2012,0,1,3,1,1
288,Brandon Leonardo,1,15,2,0,0,0,0,0,0,1,2012,0,1,3,1,1
289,Raghunandan G,1,37,2,7,7,0,0,0,1,0,2011,2005,1,2,1,1
290,Aprameya Radhakrishna,1,35,1,13,16,0,0,0,0,0,2011,2005,1,2,1,1
291,Hironao Kunimitsu,1,8,1,1,1,0,0,0,2,1,2007,0,1,1,1,1
292,Charlie Shrem,1,143,1,0,0,0,0,0,0,0,2011,0,0,2,0,1
293,Caroline Hu Flexer,0,4,1,0,0,0,0,0,0,1,2008,0,1,3,1,1
294,Michael Flexer,1,0,1,0,0,0,0,0,0,1,2008,0,1,3,1,1
295,Jay Hoffmann,1,3,1,0,0,0,0,0,0,1,2012,0,1,1,1,1
296,Aneel Bhusri,1,175,1,0,0,41,0,0,0,1,2005,0,1,2,1,1
297,Dave Duffield,1,142,2,9,12,0,2,2,0,1,2005,0,1,2,1,1
298,Jason Gardner,1,10,2,0,0,0,0,0,4,1,2010,0,1,1,1,1
299,Luis von Ahn,1,139,2,1,1,0,0,0,2,1,2011,0,1,2,1,1
300,Severin Hacker,1,14,1,2,2,0,0,0,1,1,2011,0,1,2,1,1
301,Matias de Tezanos,1,22,7,11,12,1,1,4,1,1,2015,0,1,1,0,1
302,Diego FerníŒndez,1,0,2,0,0,0,0,0,0,1,2015,0,1,1,0,1
303,Diego FerníÈŒndez,1,0,2,0,0,0,0,0,0,1,2015,0,1,1,0,1
304,Joey Kim,1,0,1,0,0,0,0,0,0,1,2015,0,1,1,0,0
305,Brandon Phillips,1,55,1,0,0,0,0,0,0,1,2015,0,1,7,0,1
306,Tony Pease,1,3,3,0,0,0,0,0,0,1,2015,0,1,7,0,1
307,Chris Maguire,1,20,2,0,0,0,0,0,0,1,2009,0,0,1,1,1
308,Ryan Hudson,1,7,1,0,0,0,0,0,1,1,2012,0,1,2,0,1
309,Ryan Hudson,1,7,1,0,0,0,0,0,1,1,2012,0,1,4,0,1
310,George Ruan,1,4,2,0,0,0,0,0,0,1,2012,0,1,2,0,1
311,George Ruan,1,4,2,0,0,0,0,0,0,1,2012,0,1,4,0,1
312,Rachel Zisser Kaplowitz,0,0,1,0,0,0,0,0,1,1,2012,0,1,2,0,0
